ubigeo,departamento,provincia,distrito,tipo_area,poblacion,anio
020513,Áncash,Bolognesi,Pacllon,Rural,108,2017
020513,Áncash,Bolognesi,Pacllon,Total,971,2017
020514,Áncash,Bolognesi,San Miguel de Corpanqui,Urbano,432,2017
020514,Áncash,Bolognesi,San Miguel de Corpanqui,Rural,86,2017
020514,Áncash,Bolognesi,San Miguel de Corpanqui,Total,519,2017
020515,Áncash,Bolognesi,Ticllos,Urbano,597,2017
020515,Áncash,Bolognesi,Ticllos,Rural,89,2017
020515,Áncash,Bolognesi,Ticllos,Total,686,2017
020601,Áncash,Carhuaz,Carhuaz,Urbano,10328,2017
020601,Áncash,Carhuaz,Carhuaz,Rural,5530,2017
020601,Áncash,Carhuaz,Carhuaz,Total,15859,2017
020602,Áncash,Carhuaz,Acopampa,Urbano,1029,2017
020602,Áncash,Carhuaz,Acopampa,Rural,1666,2017
020602,Áncash,Carhuaz,Acopampa,Total,2696,2017
020603,Áncash,Carhuaz,Amashca,Urbano,754,2017
020603,Áncash,Carhuaz,Amashca,Rural,773,2017
020603,Áncash,Carhuaz,Amashca,Total,1528,2017
020604,Áncash,Carhuaz,Anta,Urbano,782,2017
020604,Áncash,Carhuaz,Anta,Rural,1737,2017
020604,Áncash,Carhuaz,Anta,Total,2520,2017
020605,Áncash,Carhuaz,Ataquero,Urbano,299,2017
020605,Áncash,Carhuaz,Ataquero,Rural,1274,2017
020605,Áncash,Carhuaz,Ataquero,Total,1574,2017
020606,Áncash,Carhuaz,Marcara,Urbano,3923,2017
020606,Áncash,Carhuaz,Marcara,Rural,6255,2017
020606,Áncash,Carhuaz,Marcara,Total,10178,2017
020607,Áncash,Carhuaz,Pariahuanca,Urbano,651,2017
020607,Áncash,Carhuaz,Pariahuanca,Rural,795,2017
020607,Áncash,Carhuaz,Pariahuanca,Total,1446,2017
020608,Áncash,Carhuaz,San Miguel de Aco,Urbano,405,2017
020608,Áncash,Carhuaz,San Miguel de Aco,Rural,2077,2017
020608,Áncash,Carhuaz,San Miguel de Aco,Total,2483,2017
020609,Áncash,Carhuaz,Shilla,Urbano,1026,2017
020609,Áncash,Carhuaz,Shilla,Rural,1928,2017
020609,Áncash,Carhuaz,Shilla,Total,2955,2017
020610,Áncash,Carhuaz,Tinco,Urbano,1597,2017
020610,Áncash,Carhuaz,Tinco,Rural,2010,2017
020610,Áncash,Carhuaz,Tinco,Total,3607,2017
020611,Áncash,Carhuaz,Yungar,Urbano,753,2017
020611,Áncash,Carhuaz,Yungar,Rural,2469,2017
020611,Áncash,Carhuaz,Yungar,Total,3222,2017
020701,Áncash,Carlos Fermín Fitzcarrald,San Luis,Urbano,3844,2017
020701,Áncash,Carlos Fermín Fitzcarrald,San Luis,Rural,7311,2017
020701,Áncash,Carlos Fermín Fitzcarrald,San Luis,Total,11155,2017
020702,Áncash,Carlos Fermín Fitzcarrald,San Nicolás,Urbano,1125,2017
020702,Áncash,Carlos Fermín Fitzcarrald,San Nicolás,Rural,2198,2017
020702,Áncash,Carlos Fermín Fitzcarrald,San Nicolás,Total,3324,2017
020703,Áncash,Carlos Fermín Fitzcarrald,Yauya,Urbano,908,2017
020703,Áncash,Carlos Fermín Fitzcarrald,Yauya,Rural,3427,2017
020703,Áncash,Carlos Fermín Fitzcarrald,Yauya,Total,4336,2017
020801,Áncash,Casma,Casma,Urbano,34137,2017
020801,Áncash,Casma,Casma,Rural,3052,2017
020801,Áncash,Casma,Casma,Total,37190,2017
020802,Áncash,Casma,Buena Vista Alta,Urbano,2684,2017
020802,Áncash,Casma,Buena Vista Alta,Rural,2318,2017
020802,Áncash,Casma,Buena Vista Alta,Total,5003,2017
020803,Áncash,Casma,Comandante Noel,Urbano,1640,2017
020803,Áncash,Casma,Comandante Noel,Rural,601,2017
